id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
12177,3586.15,3099.42,19.972,0.021,-0.315,0.03,nan,nan,1.704,0.026
12178,2735.51,2016.78,19.392,0.037,1.173,0.046,nan,nan,1.892,0.045
12179,3666.42,1779.84,19.445,0.027,1.029,0.041,nan,nan,1.643,0.036
12180,2588.82,1649.5,19.42,0.041,1.043,0.055,0.698,0.121,1.707,0.05
12181,3054.09,2098.7,19.691,0.038,1.493,0.054,nan,nan,2.384,0.042
12182,2150.0,771.149,19.491,0.034,0.985,0.051,0.259,0.09,1.743,0.042
12183,394.854,1238.78,19.536,0.039,0.685,0.057,0.498,0.109,1.557,0.052
12184,409.988,1974.85,19.569,0.047,1.154,0.064,nan,nan,2.098,0.056
12185,1173.43,2666.43,19.57,0.04,1.332,0.051,nan,nan,2.381,0.046
12186,2912.1,1167.5,19.43,0.033,0.996,0.046,0.213,0.082,1.634,0.043
12187,2651.78,376.49,19.627,0.042,0.893,0.078,nan,nan,1.842,0.049
12188,3132.18,3918.48,19.55,0.031,1.0,0.05,nan,nan,1.833,0.039
12189,3251.53,1213.36,19.851,0.034,1.595,0.068,nan,nan,2.329,0.038
12190,2615.79,1257.44,19.566,0.038,1.233,0.058,nan,nan,1.974,0.044
12191,3497.65,3436.65,19.501,0.024,1.069,0.047,nan,nan,1.678,0.03
12192,2327.88,1442.2,19.484,0.039,0.869,0.053,0.318,0.076,1.641,0.047
12193,3210.64,2531.24,19.53,0.023,1.362,0.044,nan,nan,1.908,0.03
12194,2686.98,1060.33,20.019,0.042,1.554,0.075,nan,nan,2.809,0.049
12195,639.157,3570.0,19.422,0.029,1.01,0.042,0.311,0.069,1.608,0.036
12196,2872.45,196.921,19.485,0.036,1.048,0.058,0.333,0.116,1.759,0.047
12197,2111.08,2702.5,19.511,0.027,1.056,0.044,1.008,0.164,1.716,0.031
12198,2685.0,1553.21,19.51,0.041,1.216,0.062,nan,nan,1.904,0.05
12200,1707.31,97.425,19.641,0.042,1.344,0.063,1.783,0.385,2.372,0.052
