id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
2663,1117.49,1223.48,17.279,0.043,1.505,0.057,0.983,0.066,2.08,0.047
2664,1525.67,2967.01,17.231,0.025,0.909,0.034,0.409,0.038,1.259,0.027
2665,3337.49,1720.58,17.284,0.024,1.027,0.032,0.567,0.039,1.532,0.032
2667,3397.85,714.616,17.147,0.023,1.403,0.037,0.731,0.048,1.779,0.035
2669,3123.55,1877.64,17.425,0.024,0.751,0.033,0.282,0.04,1.224,0.034
2670,3267.47,1366.67,17.378,0.025,0.886,0.032,0.318,0.038,1.305,0.037
2671,3167.77,2203.97,17.459,0.021,0.678,0.03,0.248,0.034,1.136,0.031
2674,2504.94,2962.83,17.344,0.017,0.868,0.028,0.424,0.041,1.28,0.027
2675,1941.28,895.866,17.336,0.038,0.888,0.05,0.383,0.057,1.403,0.044
2676,2205.36,236.617,17.346,0.032,0.828,0.054,0.201,0.063,1.221,0.043
2677,3331.84,1494.67,17.448,0.025,0.558,0.038,0.351,0.042,1.049,0.034
2678,1931.13,3071.99,17.205,0.025,1.005,0.034,0.693,0.045,1.283,0.028
2679,3168.77,596.576,17.382,0.028,0.885,0.043,0.239,0.052,1.353,0.044
2681,3643.47,2508.0,17.346,0.015,0.867,0.03,0.246,0.043,1.295,0.023
2684,3351.56,2695.09,17.258,0.014,0.987,0.037,0.584,0.046,1.163,0.025
2685,2288.28,2604.46,17.392,0.021,0.785,0.033,0.28,0.04,1.237,0.03
2686,962.102,2793.14,17.24,0.023,1.617,0.041,0.859,0.068,1.931,0.033
2687,2541.45,170.384,17.303,0.029,0.967,0.054,0.306,0.064,1.255,0.044
2688,2593.43,584.329,17.382,0.03,0.794,0.046,0.22,0.052,1.179,0.041
2689,3315.12,1482.07,17.421,0.026,0.821,0.033,0.367,0.037,1.301,0.037
2691,2896.95,1060.91,17.416,0.028,0.864,0.038,0.241,0.046,1.35,0.042
2695,1011.8,1300.0,17.3,0.044,0.613,0.056,0.453,0.049,1.09,0.046
2696,3108.69,785.809,17.389,0.031,0.815,0.044,0.383,0.045,1.221,0.046
2697,2315.31,622.777,17.239,0.037,1.322,0.052,0.873,0.055,1.885,0.042
2702,1747.71,1270.69,17.409,0.034,0.858,0.043,0.426,0.048,1.475,0.042
2704,2043.77,1484.53,17.306,0.032,0.897,0.041,0.738,0.056,1.29,0.038
2706,1537.95,436.672,17.211,0.042,1.061,0.055,0.659,0.056,1.377,0.048
2707,811.883,1629.8,17.441,0.038,1.629,0.057,nan,nan,2.073,0.044
2709,1973.4,1579.19,17.253,0.036,0.801,0.062,nan,nan,1.174,0.043
2711,4059.48,1746.43,17.335,0.021,0.86,0.041,0.503,0.045,1.388,0.03
2713,3603.49,719.534,17.372,0.022,0.939,0.033,0.229,0.038,1.304,0.033
2714,2498.66,3036.62,17.354,0.017,1.085,0.027,0.503,0.072,1.55,0.024
2715,2672.29,1622.78,17.327,0.023,0.954,0.036,0.536,0.05,1.332,0.034
2716,3510.05,1407.45,17.424,0.028,0.8,0.039,0.145,0.04,1.29,0.034
2717,3101.39,2243.33,17.38,0.023,0.872,0.033,0.241,0.039,1.253,0.031
