radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
119.437882,0.572,-28.396543,0.339,NA,NA,0,NA,NA,0,NA,NA,0,17.361,0.094,2,16.606,0.019,2,15.736,0.05,2,NA,NA,0,NA,NA,0
119.437942,0.432,-28.310758,0.533,NA,NA,0,NA,NA,0,NA,NA,0,17.544,0.129,1,16.767,0.15,1,NA,NA,0,NA,NA,0,NA,NA,0
119.438033,0.164,-28.963727,0.516,NA,NA,0,NA,NA,0,NA,NA,0,17.847,0.152,1,16.91,0.193,1,16.126,0.255,1,NA,NA,0,NA,NA,0
119.438519,0.896,-28.658912,0.542,15.884,0.107,12,16.635,0.15,12,NA,NA,0,16.261,0.077,17,15.67,0.113,17,15.476,0.204,7,NA,NA,0,NA,NA,0
119.43855,0.577,-29.001418,0.271,NA,NA,0,NA,NA,0,NA,NA,0,17.757,0.032,2,17.138,0.055,2,16.707,0.353,1,NA,NA,0,NA,NA,0
119.438691,0.309,-28.190371,0.309,14.386,0.031,10,14.762,0.053,10,NA,NA,0,14.534,0.039,10,14.356,0.049,10,14.302,0.112,10,NA,NA,0,NA,NA,0
119.438946,0.347,-28.857073,0.302,15.494,0.129,12,16.331,0.114,12,NA,NA,0,15.832,0.061,14,15.264,0.034,14,15.121,0.174,12,NA,NA,0,NA,NA,0
119.439111,0.34,-28.287575,0.323,14.445,0.04,10,15.07,0.045,10,NA,NA,0,14.713,0.042,10,14.292,0.044,10,14.178,0.09,10,NA,NA,0,NA,NA,0
119.439166,0.578,-28.613525,0.482,16.483,0.139,5,17.328,0.15,5,NA,NA,0,16.876,0.141,16,16.19,0.201,16,15.903,0.096,3,NA,NA,0,NA,NA,0
119.439168,0.512,-28.793904,0.431,16.192,0.084,8,17.152,0.131,8,NA,NA,0,16.705,0.104,14,15.962,0.082,14,15.453,0.277,4,NA,NA,0,NA,NA,0
119.439198,0.612,-28.178585,0.375,16.888,0.14,1,18.153,0.305,1,NA,NA,0,17.506,0.033,3,16.625,0.04,3,NA,NA,0,NA,NA,0,NA,NA,0
119.439348,0.303,-28.954965,0.383,NA,NA,0,NA,NA,0,NA,NA,0,16.965,0.117,5,16.087,0.044,5,15.643,0.177,2,NA,NA,0,NA,NA,0
119.439595,0.618,-28.505881,0.419,15.351,0.046,10,16.285,0.149,10,NA,NA,0,15.768,0.053,10,15.132,0.056,10,14.82,0.101,9,NA,NA,0,NA,NA,0
