radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
115.666743,0.253,-28.351596,0.057,16.255,0.118,1,17.139,0.208,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
115.666909,0.398,-28.247091,0.47,16.856,0.129,1,18.069,0.271,1,NA,NA,0,17.376,0.051,4,16.594,0.071,4,16.105,0.216,1,NA,NA,0,NA,NA,0
115.66716,0.165,-28.279892,0.138,13.1,0.064,5,13.479,0.049,5,NA,NA,0,13.21,0.03,5,13.021,0.015,5,12.963,0.035,5,12.759,0.03,2,NA,NA,0
115.667866,0.132,-28.543807,0.108,NA,NA,0,NA,NA,0,NA,NA,0,17.697,0.133,1,16.726,0.118,1,NA,NA,0,NA,NA,0,NA,NA,0
115.667977,0.433,-28.439185,0.346,15.485,0.07,5,16.165,0.067,5,NA,NA,0,15.761,0.03,5,15.17,0.021,5,14.927,0.063,5,NA,NA,0,NA,NA,0
115.668587,0.153,-28.412104,0.613,NA,NA,0,NA,NA,0,NA,NA,0,17.772,0.139,1,17.186,0.174,1,NA,NA,0,NA,NA,0,NA,NA,0
115.668776,0.336,-28.286485,0.303,NA,NA,0,NA,NA,0,NA,NA,0,17.226,0.192,3,16.542,0.042,3,15.867,0.178,2,NA,NA,0,NA,NA,0
115.66899,0.348,-28.226939,0.29,16.307,0.139,5,17.236,0.199,5,NA,NA,0,16.734,0.109,5,15.835,0.041,5,15.445,0.113,5,NA,NA,0,NA,NA,0
115.669194,0.23,-28.524845,0.185,14.096,0.075,5,14.645,0.05,5,NA,NA,0,14.31,0.032,5,13.934,0.029,5,13.763,0.047,5,NA,NA,0,NA,NA,0
115.66923,0.185,-28.476312,0.167,14.458,0.063,5,15.053,0.062,5,NA,NA,0,14.694,0.032,5,14.269,0.029,5,14.143,0.045,5,NA,NA,0,NA,NA,0
115.669621,0.182,-28.272885,0.241,14.909,0.054,5,16.021,0.049,5,NA,NA,0,15.387,0.037,5,14.483,0.016,5,14.037,0.073,5,NA,NA,0,NA,NA,0
115.669738,1.105,-28.213815,0.461,15.613,0.069,4,16.644,0.11,4,NA,NA,0,16.084,0.073,5,15.31,0.052,4,14.992,0.142,5,NA,NA,0,NA,NA,0
115.670098,0.207,-28.378942,0.148,15.355,0.123,5,15.912,0.092,5,NA,NA,0,15.559,0.045,5,15.194,0.041,5,15.002,0.082,5,NA,NA,0,NA,NA,0
115.67051,0.46,-28.504219,0.373,16.54,0.045,2,17.206,0.261,2,NA,NA,0,16.898,0.149,5,16.188,0.065,5,15.914,0.116,4,NA,NA,0,NA,NA,0
115.670695,0.569,-28.486888,0.181,NA,NA,0,NA,NA,0,NA,NA,0,17.839,0.134,1,16.728,0.121,1,NA,NA,0,NA,NA,0,NA,NA,0
115.670779,0.24,-28.509072,0.415,15.133,0.059,2,15.735,0.142,2,NA,NA,0,15.465,0.02,1,NA,NA,0,14.925,0.059,1,NA,NA,0,NA,NA,0
115.671522,0.37,-28.305965,0.034,NA,NA,0,NA,NA,0,NA,NA,0,17.804,0.138,1,16.984,0.149,1,NA,NA,0,NA,NA,0,NA,NA,0
115.672099,0.363,-28.258606,0.281,16.182,0.091,5,16.754,0.1,5,NA,NA,0,16.424,0.085,5,15.953,0.059,5,15.68,0.157,5,NA,NA,0,NA,NA,0
