EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI
"Gaia EDR3 5698187026329645184" 0.185784 0.235708 119.59093825087 -25.67270047161 "" "" "" "" "" "" 20.443111 0.007555 "" "" 19.401 0.032 1.065 0.047 0.181 0.096 1.811 0.043
"Gaia EDR3 5602097853325516672" -0.212284 -0.156968 119.14848736152 -26.06533018415 "" "" "" "" "" "" 21.13185 0.019663 0.580423 0.5022902607148579 19.423 0.024 0.969 0.049 0.428 0.09 1.628 0.034
"Gaia EDR3 5602103660117994624" 0.050943 0.002769 119.44144034034 -25.90577416967 "" "" "" "" "" "" 19.945265 0.026373 1.367823 0.10277002265738779 19.546 0.031 0.958 0.06 0.868 0.127 1.787 0.034
"Gaia EDR3 5698186888910078464" 0.160885 0.219874 119.56333632235 -25.68857136316 "" "" "" "" "" "" 20.562342 0.031536 "" "" 19.54 0.03 1.241 0.05 "" "" 2.057 0.04
"Gaia EDR3 5602094073770636160" -0.066313 -0.19111 119.31096363256 -26.09964558926 "" "" "" "" "" "" 19.366465 0.01145 1.861519 0.03425357280635116 19.491 0.033 1.443 0.059 1.101 0.199 2.12 0.046
"Gaia EDR3 5602096272775809408" -0.225738 -0.19899 119.1334197229 -26.10732754789 "" "" "" "" "" "" 19.769415 0.017934 1.687014 0.05395423507010363 19.789 0.032 1.219 0.063 "" "" 1.992 0.034
"Gaia EDR3 5602123588765927808" -0.239926 0.180934 119.11847981916 -25.72737749813 "" "" "" "" "" "" 20.538893 0.026342 2.775002 0.20783787466195855 20.592 0.05 1.537 0.11 "" "" 2.841 0.051
"Gaia EDR3 5697424545078802304" 0.23871 -0.099049 119.65041244111 -26.00736103103 "" "" "" "" "" "" 19.848875 0.014359 1.590614 0.04301405437761011 19.617 0.066 1.171 0.101 "" "" 1.821 0.076
"Gaia EDR3 5601351697256916096" 0.141411 -0.078193 119.54212264956 -25.98666252876 "" "" "" "" "" "" 21.344942 0.015472 2.198267 0.06678157444235648 19.807 0.04 1.59 0.076 "" "" 2.353 0.05
"Gaia EDR3 5602107504114214400" -0.072217 0.037013 119.30454530923 -25.87151959603 "" "" "" "" "" "" 20.049192 0.012104 1.353395 0.09154466954443606 19.597 0.033 1.041 0.052 "" "" 1.626 0.038
"Gaia EDR3 5602094554788707328" -0.175636 -0.204631 119.18920477492 -26.11305420454 "" "" "" "" "" "" 20.653303 0.013196 "" "" 19.688 0.038 1.015 0.059 0.429 0.111 1.742 0.047
"Gaia EDR3 5602125616010501504" -0.190757 0.228757 119.17314410646 -25.67964362068 "" "" "" "" "" "" 21.409658 0.015312 1.369419 0.052260056563306546 19.661 0.038 1.088 0.066 "" "" 1.637 0.059
"Gaia EDR3 5601348261276926464" 0.079709 -0.223897 119.47359160038 -26.13242473592 "" "" "" "" "" "" 20.850931 0.022439 "" "" 20.637 0.046 1.496 0.125 "" "" 3.156 0.053
"Gaia EDR3 5697427401243090432" 0.221777 -0.094365 119.63156181639 -26.00271032258 "" "" "" "" "" "" 20.981987 0.039561 "" "" 19.965 0.071 0.578 0.141 "" "" 1.944 0.096
"Gaia EDR3 5602125478566140544" -0.230749 0.238322 119.12879023513 -25.67000786373 "" "" "" "" "" "" 21.178185 0.052324 "" "" 19.735 0.025 1.117 0.052 "" "" 1.738 0.065
"Gaia EDR3 5698185548880377472" 0.042791 0.158403 119.43231502731 -25.75014404024 "" "" "" "" "" "" 20.107191 0.015966 1.184914 0.06576518459641088 19.745 0.029 0.94 0.051 0.23 0.114 1.556 0.034
"Gaia EDR3 5698184032737585792" 0.067209 0.093904 119.45946570988 -25.81463123605 "" "" "" "" "" "" 20.221338 0.014943 2.191528 0.06824118897703937 20.535 0.045 1.597 0.121 "" "" 2.583 0.047
"Gaia EDR3 5602099193354360576" -0.1782 -0.098741 119.18652853899 -26.00716011335 "" "" "" "" "" "" 20.87937 0.012699 "" "" 20.149 0.035 1.659 0.082 "" "" 2.471 0.044
"Gaia EDR3 5698179707706704384" 0.109907 -0.011123 119.50700541719 -25.91962576382 "" "" "" "" "" "" 20.592249 0.019011 "" "" 20.45 0.034 1.45 0.09 "" "" 2.585 0.038
"Gaia EDR3 5698184346284736384" 0.054466 0.120109 119.4452974296 -25.78843319734 "" "" "" "" "" "" 20.801994 0.025237 2.411951 0.2332814731713601 21.108 0.051 1.44 0.148 "" "" 3.051 0.051
"Gaia EDR3 5601348360052379008" 0.128381 -0.199083 119.5277748317 -26.1075672453 "" "" "" "" "" "" 20.20324 0.012716 1.728897 0.07412215717988785 19.993 0.042 1.1 0.085 0.597 0.202 2.037 0.054
"Gaia EDR3 5602099949281500416" -0.008368 -0.143723 119.37549214681 -26.05227748581 "" "" "" "" "" "" 21.584175 0.033844 "" "" 20.542 0.051 -0.111 0.077 "" "" 2.459 0.06
"Gaia EDR3 5602103282180359552" -0.005673 -0.039359 119.3784975317 -25.94791271326 "" "" "" "" "" "" 21.328531 0.016267 1.916374 0.11418209428802749 20.029 0.029 1.62 0.071 "" "" 2.173 0.038
"Gaia EDR3 5602095963539047296" -0.222376 -0.220953 119.13711782107 -26.12929635667 "" "" "" "" "" "" 21.015821 0.018613 "" "" 20.337 0.043 1.471 0.08 "" "" 2.835 0.053
"Gaia EDR3 5602100086724876416" -0.043387 -0.145265 119.33651185335 -26.053811412 "" "" "" "" "" "" 20.136097 0.012581 1.37443 0.07678650308485209 19.997 0.036 1.118 0.092 "" "" 1.674 0.044
"Gaia EDR3 5602118537885600512" -0.200501 0.033817 119.1619662027 -25.87456709049 "" "" "" "" "" "" 21.41348 0.028651 "" "" 20.316 0.033 1.397 0.07 "" "" 2.145 0.038
"Gaia EDR3 5601351181856278784" 0.105724 -0.10794 119.50245210134 -26.01644671104 "" "" "" "" "" "" 21.033693 0.02199 0.842632 0.3994830614731994 20.327 0.062 0.534 0.088 -0.089 0.121 "" ""
"Gaia EDR3 5602124138536335104" -0.171495 0.181082 119.19444115971 -25.72734832047 "" "" "" "" "" "" 20.59829 0.011161 1.899363 0.1261864882822246 20.494 0.041 1.381 0.098 "" "" 2.277 0.046
"Gaia EDR3 5602092768095779584" -0.178341 -0.244771 119.18612509311 -26.15318950107 "" "" "" "" "" "" 20.07541 0.014573 1.735439 0.09660777308788356 20.378 0.044 1.528 0.085 "" "" 2.258 0.051
