EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5597770003769152256,0.170906,-0.182877,119.91654045893,-28.75747103761,0.2004,0.0516,-1.395,0.042,1.993,0.058,16.779099,0.002813,1.198137,0.006877256793227951,17.099,0.009,0.903,0.017,0.34,0.024,1.085,0.019
Gaia EDR3 5597821509017948672,0.176454,0.24696,119.92204875746,-28.32762590161,0.6528,0.0486,-5.388,0.04,1.475,0.052,16.728039,0.002804,1.30938,0.008179113399385046,17.099,0.01,1.079,0.023,0.905,0.031,1.176,0.02
Gaia EDR3 5600791496080625536,-0.08029,0.07663,119.63023047789,-28.49807272379,0.2284,0.0517,-2.165,0.047,1.614,0.051,16.809116,0.00281,1.123848,0.007753627086725283,17.101,0.011,0.823,0.015,0.258,0.015,0.996,0.016
Gaia EDR3 5597770759683374720,0.161079,-0.123478,119.90522698363,-28.69808792659,0.5633,0.0536,-1.683,0.047,-1.689,0.057,16.82061,0.002804,1.12252,0.008790364042518376,17.101,0.011,0.898,0.018,0.452,0.02,0.997,0.02
Gaia EDR3 5597770587884667904,0.186345,-0.141593,119.93406724306,-28.71616094948,0.2368,0.0524,-2.857,0.046,3.797,0.054,16.872114,0.002812,0.966425,0.008323202088138915,17.101,0.008,0.695,0.017,0.334,0.021,0.908,0.021
Gaia EDR3 5600415153866481536,-0.23739,0.00879,119.45129677435,-28.56567508441,0.2671,0.0496,-1.223,0.041,1.875,0.051,16.439674,0.0028,1.883898,0.006983228622922209,17.101,0.011,1.498,0.015,1.149,0.032,1.737,0.018
Gaia EDR3 5597771687396654976,0.153551,-0.098795,119.89660272531,-28.67341613673,0.1732,0.045,-1.205,0.04,3.923,0.051,16.497288,0.005905,1.151964,0.02322336386056077,17.102,0.011,0.75,0.018,0.317,0.018,1.08,0.018
Gaia EDR3 5597768801178494720,0.00968,-0.24631,119.73263862494,-28.82104283559,0.2246,0.0568,-2.754,0.047,4.354,0.05,16.844076,0.002822,1.077375,0.006922974288555462,17.102,0.008,0.816,0.02,0.333,0.022,0.982,0.019
Gaia EDR3 5597784022542378496,0.11371,-0.030667,119.85110972413,-28.60533846329,0.3282,0.0474,-2.788,0.04,2.991,0.047,16.753302,0.002804,1.193274,0.006682697808520149,17.103,0.009,0.843,0.013,0.287,0.012,1.097,0.013
Gaia EDR3 5597406786975577856,-0.115698,-0.17738,119.58962146088,-28.75204948406,0.2883,0.0511,-1.339,0.044,0.224,0.048,16.871778,0.002809,1.060051,0.008322979094050399,17.103,0.011,0.833,0.014,0.318,0.016,0.914,0.022
Gaia EDR3 5597793952506362496,0.207025,0.17186,119.9569454762,-28.40267052183,0.2443,0.0519,-1.382,0.041,1.487,0.051,16.893982,0.002818,1.015657,0.008427773608729651,17.103,0.008,0.801,0.015,0.263,0.018,0.887,0.017
Gaia EDR3 5600791908397449472,-0.06323,0.096956,119.64965629616,-28.47775797545,0.2644,0.0519,-1.956,0.044,3.835,0.049,16.832298,0.002812,1.127193,0.008193581207262182,17.104,0.011,0.801,0.016,0.431,0.016,1.007,0.015
