
# Tue 17:14:58 13-Feb-2018
# List of observations files:
#		daom_rup152.obs
# Config:	noche.cfg
# Parameters:	noche_all.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)
#
id              x        y      V     eV      BV     eBV       UB    eUB      VI     eVI
277        1338.56 1242.60 14.537  0.029   1.318   0.038   0.988   0.032   1.567   0.040  
278        715.727 4076.78 14.803  0.036   1.083   0.041   0.984   0.035   1.682   0.052  
279        741.398 679.211 14.721  0.029   1.149   0.038   1.448   0.049   1.365   0.051  
280        246.601 2950.80 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
281        707.171 129.444 14.944  0.036   0.866   0.045   0.489   0.050   0.903   0.050  
282        387.462 2364.32 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
283        671.507 2043.30 17.209  0.169   -1.428  0.181   INDEF   INDEF   INDEF   INDEF  
284        567.635 3499.85 14.728  0.040   3.873   0.270   -2.882  0.297   INDEF   INDEF  
285        2226.50 3765.87 14.553  0.035   1.334   0.040   1.116   0.028   1.391   0.053  
286        152.036 1369.81 17.614  0.240   -1.866  0.258   INDEF   INDEF   INDEF   INDEF  
