id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
11183 1261.6 4076.49 20.86 0.272 -0.2 0.299 "" "" 0.237 0.471 116.30801681780815 -28.126515215632942 9.7478
11263 3296.3 4026.53 19.901 0.031 1.04 0.075 "" "" 1.647 0.046 116.02903612077745 -28.13445637278727 5.3567
9025 991.704 434.828 19.48 0.05 1.568 0.09 "" "" 1.803 0.058 116.34859819996382 -28.56723472935172 5.5650
3740 3969.13 1017.39 17.775 0.021 1.057 0.034 0.444 0.039 1.377 0.037 115.93971636397424 -28.49945989488586 5.1473
11851 1246.83 390.144 19.967 0.066 1.509 0.101 "" "" 1.741 0.072 116.31365515404056 -28.572882701974876 5.6545
214 1120.81 2805.79 14.467 0.021 0.727 0.03 0.248 0.028 "" "" 116.32856949263062 -28.28025394319074 5.4312
7243 372.045 86.502 18.749 0.049 1.624 0.066 "" "" 1.535 0.061 116.43391684551445 -28.6088376321697 11.1131
12105 45.414 822.781 20.043 0.051 1.705 0.109 "" "" 1.769 0.059 116.47798796205468 -28.519377652827213 5.1449
12477 3570.67 97.265 20.03 0.037 1.355 0.131 "" "" 1.512 0.064 115.99526116562313 -28.610507812629667 6.1362
12512 4073.18 1751.02 20.532 0.094 -0.149 0.168 "" "" 2.05 0.223 115.92472840992504 -28.4107210498508 6.9273
12643 3074.32 56.887 20.045 0.033 1.465 0.089 "" "" 1.637 0.062 116.06336795835813 -28.61493578956903 5.1448
12759 20.717 813.036 20.217 0.06 1.8 0.162 "" "" 1.783 0.065 116.48138434891057 -28.52053472045184 9.5973
12761 198.873 315.347 20.13 0.056 1.436 0.094 "" "" 1.791 0.066 116.45744059725297 -28.580965710479415 9.6501
12763 498.914 136.669 19.993 0.07 1.623 0.112 "" "" 1.596 0.079 116.41646943135666 -28.602880827452054 11.7148
12778 1839.42 3813.8 20.392 0.036 0.919 0.092 "" "" 2.01 0.042 116.2290346186944 -28.158861608076577 5.5932
12834 540.851 166.609 19.984 0.063 1.465 0.113 "" "" 1.471 0.076 116.4106890356458 -28.599294365116442 7.8839
12976 85.851 15.15 20.024 0.06 1.446 0.109 -0.058 0.191 1.486 0.066 116.47323414042773 -28.617211627354397 7.0450
9132 55.065 621.578 19.189 0.05 2.785 0.162 "" "" 1.3 0.056 116.47686165830602 -28.543750381985326 6.0843
7310 1082.29 285.588 18.932 0.05 1.131 0.076 0.361 0.108 1.429 0.058 116.3363219052573 -28.58539047463444 6.1423
8743 3974.48 705.772 19.348 0.026 1.329 0.049 "" "" 1.682 0.039 115.93928809358682 -28.5371988254489 6.2797
11236 1143.06 188.372 19.708 0.066 1.251 0.1 "" "" 1.384 0.076 116.32808345678303 -28.597218894186188 6.7683
13734 440.283 313.696 20.329 0.076 1.777 0.193 "" "" 1.716 0.081 116.42433632727459 -28.581390048150013 5.6596
13745 3982.18 741.221 20.519 0.035 1.614 0.104 "" "" 2.435 0.051 115.93819740782601 -28.53291344885354 5.1857
13749 409.53 442.901 20.212 0.063 1.378 0.102 "" "" 1.59 0.069 116.42842702739857 -28.565715971012466 9.8112
13886 1647.72 3737.4 20.388 0.045 1.264 0.089 "" "" 1.768 0.05 116.25539837627764 -28.167934710398935 5.8209
13920 845.37 545.952 20.312 0.073 1.539 0.115 "" "" 1.738 0.078 116.36855688215229 -28.553642642891457 6.3274
13950 1212.87 589.802 20.335 0.08 1.313 0.118 "" "" 1.703 0.083 116.3181165995585 -28.548674459616826 5.2193
14028 3695.55 585.037 20.276 0.04 1.068 0.073 "" "" 1.481 0.056 115.9776576343767 -28.551559381957375 7.1135
14150 677.117 372.95 20.354 0.067 1.932 0.164 "" "" 1.712 0.074 116.39179989885314 -28.574435119373955 9.2669
14186 482.348 1627.24 20.738 0.081 -0.306 0.14 "" "" 1.602 0.119 116.4172803678145 -28.422371546435595 8.1284
14190 3853.87 582.353 20.286 0.031 1.148 0.054 "" "" 1.52 0.053 115.95594896790726 -28.552031564668923 5.7529
14322 3867.28 412.596 20.483 0.04 1.568 0.122 "" "" 2.011 0.055 115.95427635270238 -28.572599978620264 5.1065
14532 4044.18 741.802 20.462 0.034 1.269 0.096 "" "" 1.869 0.05 115.9296944356116 -28.532900731191877 5.9966
14645 3592.4 2525.31 21.282 0.396 -0.332 0.513 "" "" "" "" 115.98990157802324 -28.31651500363673 18.2910
6182 3657.5 108.58 18.698 0.023 1.243 0.059 0.29 0.114 1.433 0.053 115.983342598247 -28.609218392547856 5.0857
2991 1888.53 4005.37 17.398 0.027 1.117 0.041 0.256 0.047 1.319 0.035 116.22211214255162 -28.135709967883596 5.3999
15102 3739.22 571.778 20.437 0.05 1.071 0.08 "" "" 1.527 0.066 115.97168192045532 -28.553205516057748 5.4842
15121 191.94 929.193 20.498 0.064 1.174 0.109 "" "" 1.65 0.069 116.45778975126414 -28.50662839032119 5.9917
15363 190.662 364.232 20.378 0.063 1.426 0.184 "" "" 1.42 0.07 116.4585187067928 -28.57503857184748 8.5335
8785 3769.75 958.65 19.338 0.029 1.154 0.045 0.536 0.099 1.584 0.04 115.96711601454057 -28.506387400829222 5.7949
15674 1002.82 15.384 20.571 0.072 1.589 0.14 "" "" 1.732 0.08 116.34748488218874 -28.6180357165935 5.4916
15702 3947.96 842.721 20.718 0.034 1.533 0.109 "" "" 2.235 0.052 115.94279070942301 -28.52059095907618 5.9585
15720 103.389 277.503 20.849 0.079 1.177 0.121 "" "" 2.002 0.081 116.47057193553921 -28.58545949368565 9.6204
8026 4001.26 51.926 19.151 0.028 1.209 0.053 "" "" 1.416 0.046 115.93625641317698 -28.616398212734655 7.9088
15860 2229.5 3824.93 20.66 0.039 1.302 0.104 "" "" 1.793 0.049 116.17552988345601 -28.157876494236742 5.3423
8494 549.563 7.411 19.067 0.059 1.408 0.082 0.198 0.104 1.324 0.064 116.40965033469064 -28.618579817921255 9.1183
16116 2789.4 3938.89 20.607 0.03 1.152 0.082 "" "" 1.726 0.089 116.09863601299323 -28.144597518162588 5.0254
16309 729.198 596.668 20.546 0.067 1.517 0.123 "" "" 1.536 0.072 116.38443848604808 -28.547393425959996 12.0770
3071 510.785 876.285 17.468 0.039 1.203 0.064 0.623 0.085 1.558 0.045 116.41411662659046 -28.5133314445067 5.2766
16880 3439.98 413.062 20.656 0.043 1.214 0.089 "" "" 1.509 0.063 116.01287390754169 -28.572146327732764 5.3338
17311 715.006 506.315 20.788 0.07 1.506 0.129 "" "" 1.734 0.08 116.38647326494018 -28.558321116406944 6.5073
17335 44.974 240.121 20.758 0.088 1.32 0.146 "" "" 1.592 0.09 116.47861934411218 -28.589931792861265 13.9346
