EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI,probs_final,membs_select
Gaia EDR3 5538150287113989760,0.027305,-0.025758,118.63149367255,-38.23823691516,0.029,0.1023,-1.277,0.102,2.346,0.117,17.969933,0.003005,0.795033,0.024040593524287206,18.088,0.027,0.485,0.033,0.325,0.043,0.701,0.038,1.0,1
Gaia EDR3 5538151146107504256,0.023978,-0.007677,118.62725008233,-38.22015769867,0.22,0.2452,-1.243,0.254,2.245,0.269,19.404995,0.003999,1.217281,0.05009595369887672,19.765,0.029,0.745,0.039,0.48,0.105,1.183,0.04,1.0,1
Gaia EDR3 5538149531199718528,0.004074,-0.034885,118.60191808093,-38.24736922855,0.1308,0.2453,-1.167,0.255,2.158,0.275,19.267548,0.003895,1.185774,0.047936323690913135,19.444,0.039,0.769,0.048,0.361,0.081,0.978,0.05,1.0,1
Gaia EDR3 5538151214826992512,0.018556,-0.003628,118.62034799811,-38.21611044854,-0.0364,0.0756,-1.367,0.08,2.289,0.088,17.559507,0.002913,0.905029,0.011720214033881805,17.745,0.023,0.44,0.027,0.339,0.031,0.819,0.032,1.0,1
Gaia EDR3 5538150291415052928,0.022681,-0.027313,118.6256072989,-38.23979339139,0.0402,0.1853,-1.22,0.198,2.081,0.203,19.016224,0.003696,0.952742,0.035415323025492794,19.216,0.036,0.558,0.042,0.501,0.069,0.907,0.043,1.0,1
Gaia EDR3 5538151081692698496,0.004787,-0.011694,118.60282300973,-38.22417836609,0.0579,0.0676,-1.348,0.068,2.372,0.075,17.390251,0.002882,0.882889,0.009244234581618967,17.528,0.023,0.49,0.027,0.212,0.032,0.763,0.031,1.0,1
Gaia EDR3 5538150257058978432,0.015456,-0.032972,118.61640997354,-38.24545423405,0.1077,0.0127,-1.337,0.013,2.032,0.014,13.690207,0.002815,2.588937,0.005591972281762491,14.889,0.021,1.969,0.026,1.55,0.036,2.51,0.03,1.0,1
Gaia EDR3 5538151420985492096,0.005484,0.023024,118.60370715191,-38.1894600245,-0.0844,0.3578,-1.368,0.385,2.223,0.422,19.791342,0.004954,1.415995,0.07590134702362007,20.077,0.032,0.798,0.047,0.569,0.175,1.103,0.045,0.98,1
Gaia EDR3 5538151008668500352,0.002553,-0.028258,118.59998033666,-38.24074252128,0.2279,0.0905,-1.213,0.091,2.25,0.103,17.85274,0.00297,0.955111,0.01445170232187198,18.021,0.029,0.516,0.035,0.358,0.036,0.86,0.037,1.0,1
Gaia EDR3 5538151043028251392,0.022556,-0.020788,118.62544553946,-38.2332688592,-0.0375,0.0846,-1.298,0.089,2.351,0.093,17.776844,0.002977,0.891611,0.01048877581036033,17.939,0.026,0.508,0.031,0.387,0.035,0.777,0.035,1.0,1
