id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
24789 630.133 2054.05 21.557 0.071 0.841 0.151 "" "" 1.759 0.091 118.63781107016666 -26.952343210298945 7.9077
24801 436.518 1320.8 21.538 0.083 1.103 0.166 "" "" 1.725 0.089 118.66488468336678 -27.040781384724166 5.1533
24809 56.887 157.542 21.726 0.101 0.222 0.127 -0.38 0.209 1.521 0.109 118.71766317982612 -27.181011198404992 11.0213
24832 2019.31 2066.02 21.64 0.077 0.783 0.156 "" "" 1.831 0.086 118.44941434350778 -26.952279323412238 8.5248
24851 769.89 1447.77 21.628 0.095 1.181 0.228 "" "" 1.829 0.103 118.61953518043943 -27.02576588563128 9.0105
24853 1870.16 1301.08 21.465 0.083 0.946 0.14 "" "" 1.585 0.091 118.4704934994652 -27.044592264207758 5.0707
24881 2858.98 2040.98 21.464 0.082 0.814 0.137 "" "" 1.493 0.101 118.33557638895789 -26.956141932435504 10.3296
24889 613.264 1459.64 21.778 0.103 0.79 0.176 "" "" 2.004 0.111 118.64076166313511 -27.024175183356512 6.3582
24915 2276.04 2312.27 21.514 0.072 1.058 0.153 "" "" 1.636 0.082 118.41432505260697 -26.922769663197734 7.8871
24926 2070.12 556.395 22.123 0.109 0.074 0.392 "" "" 2.311 0.113 118.44420798858765 -27.13480445197913 15.0357
24928 801.41 1858.52 21.701 0.108 0.09 0.471 "" "" 1.798 0.112 118.61480265618471 -26.976148233209923 14.7698
24946 2524.79 1775.88 21.5 0.038 0.932 0.13 0.176 0.584 1.433 0.068 118.38119089362445 -26.987852954980603 5.3097
24948 458.151 132.892 21.82 0.086 0.603 0.51 "" "" 2.027 0.095 118.66327610702953 -27.184390217504095 8.7055
24967 2825.54 1612.34 21.399 0.092 0.957 0.151 "" "" 1.362 0.111 118.34058923543932 -27.007920110865015 5.2708
24991 1030.72 2124.34 22.07 0.11 0.158 0.175 "" "" 2.241 0.12 118.58340990490339 -26.944245769487914 5.3279
25041 664.175 1634.98 21.522 0.075 0.91 0.159 "" "" 1.506 0.092 118.63366214970242 -27.003031804476308 10.1469
25056 1975.75 2084.06 21.778 0.094 0.733 0.188 "" "" 1.868 0.102 118.45530130123394 -26.950055389305877 9.0571
25067 1720.1 918.667 21.683 0.068 1.082 0.186 "" "" 1.803 0.082 118.49126937615522 -27.09066669673476 5.9748
25126 856.039 2165.31 21.747 0.117 1.138 0.261 "" "" 1.822 0.127 118.60705232918312 -26.93911965684147 11.0805
25143 1242.01 512.965 21.845 0.111 0.216 0.503 "" "" 1.86 0.121 118.55655468937708 -27.13922960017191 13.1637
25214 822.725 1395.13 22.227 0.117 0.09 0.195 "" "" 2.241 0.124 118.61242905335672 -27.03218129678676 5.4646
25523 1552.92 3061.42 22.268 0.272 0.574 0.415 "" "" 0.572 0.425 118.51155021176766 -26.83149694792037 10.2361
820 1301.05 3760.22 16.089 0.111 0.39 0.162 -0.038 0.14 2.873 0.113 118.5449263102555 -26.746779389402764 9.6980
