id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
13745 3982.18 741.221 20.519 0.035 1.614 0.104 "" "" 2.435 0.051 115.93819740782601 -28.53291344885354 5.1827
13749 409.53 442.901 20.212 0.063 1.378 0.102 "" "" 1.59 0.069 116.42842702739857 -28.565715971012466 9.8080
10239 1079.66 2.17 19.527 0.054 1.733 0.1 "" "" 1.515 0.064 116.33696033866721 -28.619707236818943 6.5925
13886 1647.72 3737.4 20.388 0.045 1.264 0.089 "" "" 1.768 0.05 116.25539837627764 -28.167934710398935 5.8237
13920 845.37 545.952 20.312 0.073 1.539 0.115 "" "" 1.738 0.078 116.36855688215229 -28.553642642891457 6.4117
13950 1212.87 589.802 20.335 0.08 1.313 0.118 "" "" 1.703 0.083 116.3181165995585 -28.548674459616826 5.2189
14028 3695.55 585.037 20.276 0.04 1.068 0.073 "" "" 1.481 0.056 115.9776576343767 -28.551559381957375 7.1161
14150 677.117 372.95 20.354 0.067 1.932 0.164 "" "" 1.712 0.074 116.39179989885314 -28.574435119373955 9.2783
14186 482.348 1627.24 20.738 0.081 -0.306 0.14 "" "" 1.602 0.119 116.4172803678145 -28.422371546435595 8.1423
14190 3853.87 582.353 20.286 0.031 1.148 0.054 "" "" 1.52 0.053 115.95594896790726 -28.552031564668923 5.7518
14322 3867.28 412.596 20.483 0.04 1.568 0.122 "" "" 2.011 0.055 115.95427635270238 -28.572599978620264 5.1042
14532 4044.18 741.802 20.462 0.034 1.269 0.096 "" "" 1.869 0.05 115.9296944356116 -28.532900731191877 6.0126
